2021-02-25-12-44-07,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/bdadcea.fedbfca.eaecegd.gacgffd.bgfcbcd.aagfdbc.gebgfeb|6,6/6,5/6,4/6,0;6,3/0,0;6,2/0,6/5,6/1,0/0,1/1,1;2,0/0,2;2,1;5,0/1,2/4,6/6,1/5,1/4,0;5,5/3,0;4,1;5,2/1,6/2,6;3,6/0,5;2,2/5,4/0,3/1,5/4,2;5,3/1,3/4,3/0,4;2,3;4,5/4,4/3,1/1,4/2,4/2,5/3,2/3,5/3,4/3,3"
2021-02-25-12-45-44,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/acddeaf.cgccbba.bbafgfb.fecgfad.degefeg.ebaecbd.fcgddga|0,6;6,0/0,0;6,6/0,5;1,6/1,5;2,6/5,6/0,4;5,0/3,6/0,3/4,0/0,1;1,0;6,1/1,1;4,6;6,5/1,4;2,0;5,1;5,5/2,5/6,4/2,1/4,5/3,5/5,4/4,4/6,2/3,4/0,2;6,3/3,0/1,2;1,3/3,1;5,3/4,3/2,4;3,3/2,3/5,2/2,2/3,2/4,1/4,2"
2021-02-25-12-47-42,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/egbgcfa.fefafaf.ggbdcae.dbcbgbb.deedfab.aeccgdd.degcfac|6,6/5,6/6,5/0,0/1,0;6,4/0,1;2,0/3,0/0,6/0,5/0,2;4,6/6,0/0,4;6,3/1,1;6,1/1,6/6,2/0,3/1,5;5,0/3,6/4,0;5,5/5,4/5,3/1,4/2,1/5,1/4,1/1,3;4,5/3,1;3,5/2,6/2,5/5,2/4,4/3,4/4,2/2,4/2,3;4,3/3,2/2,2/1,2/3,3"
2021-02-25-12-49-38,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/gdfgdfb.fbbcedc.deadebb.cdgbeac.cggedcc.gfaefff.aaeabag|0,0/0,6/0,5;1,0/6,6/6,5/1,6/6,0/0,1;0,4/5,6/2,0/1,1;2,6;6,4/6,3/6,2/0,3;5,0/2,1/3,6/0,2;5,5/3,0;4,6/6,1/5,4/4,5/3,1;4,4/3,5/4,0/3,4/5,3/1,5/1,4;4,3/1,2;2,5/1,3/2,4/4,1/2,3/5,1/5,2/3,3/4,2/2,2/3,2"
2021-02-25-12-51-28,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/dabcefe.acfbbca.fegffea.eabdgdg.fgdafab.ecebcdb.dggcgdc|0,0;6,0/0,1/0,6;5,0/1,0;1,6/4,0/0,2/2,0/0,3;1,1;6,6/6,5/0,5/1,5/3,0/6,4/6,3/1,2/0,4/1,4;5,6/1,3/6,1;6,2/2,1/5,1/2,6/3,1/2,2/2,5;5,2/4,1/4,6/3,2/2,3/2,4/3,3/3,4;3,6/3,5;4,2;5,5"
2021-02-25-12-53-16,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/acfabec.eebgabg.ecdfgge.fdcfbaf.gaddadf.cbgdbcb.aeegfdc|0,0;6,0/1,0;6,1/6,2/5,0/0,1;0,6;6,6/1,1/5,1/1,6;4,0;6,3/2,0;2,6/6,5/0,2;3,0/3,6/4,6/0,3;4,1/0,4/6,4/5,2/1,2/5,3/0,5/3,1/5,6/2,1/5,4/2,2/5,5/4,2;4,5/3,2/4,3/3,3/2,3/1,3/3,5;4,4/1,5/3,4/2,4;2,5/1,4"
2021-02-25-12-55-18,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/bfdbaba.fcebgfg.gfabdeg.eacbgee.edecabf.agdcfdc.dgccdaf|6,0/0,6;5,0/1,6;6,1/6,2/0,0/6,6/0,5/5,6;6,3/6,5/0,4/5,5;6,4/5,1/5,2/5,3/0,3/1,0/1,5;5,4/1,4;2,0/0,2/1,3/4,6/4,0/3,6/1,2/0,1/4,5/4,4/2,6/3,0/4,1/2,5;4,2/3,1/1,1;3,2/2,1/4,3/2,2/2,3;3,3/3,4/2,4/3,5"
2021-02-25-12-57-18,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/caaaced.dgcegbc.fgedfbf.ddbebce.bafddge.fgaaegc.fbafgcb|0,6/0,5/6,6/6,0/6,1/1,6;6,5/2,6/5,0/0,0;0,4/4,0/0,1;0,3/6,4/6,3/1,0;3,0/5,1/5,6/2,0/3,6;4,6/4,1;6,2/3,1/1,1/0,2;5,2/4,2/3,2/5,5/1,5/1,2/2,1/1,3;5,4/2,2/4,5/3,5/2,3;4,4/2,5;3,4/5,3/4,3/1,4/3,3/2,4"
2021-02-25-12-59-15,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/gffaecc.bgbdegg.eggcage.efdadbf.adcbeba.edbdcff.dbcacfa|0,6/6,0/5,0/0,5/6,6/5,6;6,5/0,0/1,6/6,1/4,0;4,6/5,5/2,6;3,0/0,1/2,0/6,2;6,4/4,5/0,2;3,6/5,1/1,0;3,5/2,5/6,3/1,1/1,2/0,4/1,5;2,1/3,1/0,3/2,2/5,2/1,3;3,2/2,3/1,4/5,4/2,4;3,3/3,4/4,4/5,3/4,3/4,2/4,1"
2021-02-25-13-00-57,EtaZero-100-PolicyValRGCN-0-2021-02-25-12-24-01,"1/aaaaaaa/acegefb.fegdacd.bdagdce.cfcbgdf.bafgbge.efagbdc.aeadbcf|6,6/0,0/1,0/0,1;5,6;6,5/0,6;2,0;6,4/4,6/5,5/3,0/1,1/5,4/0,5;3,6/6,3/0,4/5,3/2,1/0,2;2,6/3,1/0,3;1,2/2,2;6,0;6,2/5,0;6,1/1,3;1,6/3,2/4,0/2,3;4,5/5,1/1,4;4,1/4,2"
