1/bc-f-bbf-d/7.7.7.6b.7.7.7,"[1.0, 0.0, 1.0]"
2/bc-fabf-d/7.7.7.5db.7.7.7,"[0.8979591727256775, 0.10204081982374191, 0.0, 0.0, -1.0]"
1/bc-f-bbf-d/7.7.7.4ddb.7.7.7,"[0.8634752035140991, 0.13652482628822327, 0.0, 0.0, 0.0, 1.0]"
2/bc-e-bbf-d/7.7.7.4ddb.3c3.7.7,"[0.1269487738609314, 0.06013362854719162, 0.8129175901412964, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/bc-e-bbe-d/7.7.7.4ddb.2fc3.7.7,"[0.0038610037881881, 0.0, 0.9652509689331055, 0.0308880303055048, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/bc-d-bbe-d/7.7.7.3cddb.2fc3.7.7,"[0.1875, 0.559374988079071, 0.0031250000465661287, 0.012500000186264515, 0.23749999701976776, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/bc-d-bbd-d/7.7.5f1.3cddb.2fc3.7.7,"[0.2775229215621948, 0.30504587292671204, 0.03211009129881859, 0.059633027762174606, 0.0, 0.30733945965766907, 0.01834862306714058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/bc-dbbd-d/7.7.4df1.3cddb.2fc3.3d3.7,"[0.15479116141796112, 0.5823096036911011, 0.0810810774564743, 0.08845208585262299, 0.0024570024106651545, 0.0024570024106651545, 0.08599508553743362, 0.0024570024106651545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/bc-db-bd-d/7.7.3edfe.3cddb.2fc3.3d3.7,"[0.015290520153939724, 0.6360856294631958, 0.0030581040773540735, 0.0030581040773540735, 0.07951070368289948, 0.26299694180488586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/bc-db-be-d/7.7.3edfe.3cddb.2fcf2.3d3.7,"[0.0023255813866853714, 0.0023255813866853714, 0.0023255813866853714, 0.0023255813866853714, 0.32093024253845215, 0.369767427444458, 0.29767441749572754, 0.0023255813866853714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-bc-db-be-d/7.7.3edfe.2acddb.2fcfa1.3d3.7,"[0.023166023194789886, 0.07722007483243942, 0.0, 0.0, 0.8918918967247009, 0.0038610037881881, 0.0, 0.0, 0.0038610037881881, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
