1/g-f-cd-fbf/7.7.7.5c1.5a1.7.7,"[0.001336898421868682, 0.9986631274223328, 0.0, 0.0, 1.0]"
2/g-e-cd-fbf/7.7.7.5c1.5a1.5b1.7,"[0.35335689783096313, 0.6466431021690369, 0.0, 0.0, 0.0, -1.0]"
1/g-e-cc-fbf/7.7.7.4dc1.5a1.5b1.7,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/g-e-cc-ebf/7.7.7.3edc1.5a1.5b1.7,"[0.9912087917327881, 0.002197802299633622, 0.006593406666070223, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/g-e-cb-ebf/7.7.7.3edc1.4da1.5b1.7,"[0.07581227272748947, 0.0, 0.9241877198219299, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/g-e-cb-dbf/7.7.4e2.3edc1.4da1.5b1.7,"[0.32098764181137085, 0.3086419701576233, 0.3086419701576233, 0.004115226212888956, 0.05349794402718544, 0.004115226212888956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/f-e-cb-dbf/7.7.4e2.3edc1.3ada1.5b1.7,"[0.19718310236930847, 0.4272300601005554, 0.1690140813589096, 0.0, 0.2065727710723877, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/f-d-cb-dbf/7.7.4eb1.3edc1.3ada1.5b1.7,"[0.11064717918634415, 0.06889352947473526, 0.02922755666077137, 0.002087682718411088, 0.07933194190263748, 0.7077244520187378, 0.002087682718411088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/f-d-cb-daf/7.7.3feb1.3edc1.3ada1.5b1.7,"[0.6363636255264282, 0.020454544574022293, 0.072727270424366, 0.26363635063171387, 0.006818181835114956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/f-d-cd-daf/7.5d1.3feb1.3edc1.2dada1.5b1.7,"[0.26997244358062744, 0.6639118194580078, 0.06060606241226196, 0.002754820976406336, 0.002754820976406336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
