EtaZero-100,49,15.60
EtaZero-100,48,17.98
EtaZero-100,47,19.19
EtaZero-100,45,21.22
EtaZero-100,44,18.74
EtaZero-100,41,18.11
EtaZero-100,38,18.56
EtaZero-100,36,15.67
EtaZero-100,35,14.18
EtaZero-100,33,13.04
EtaZero-100,31,13.28
EtaZero-100,30,12.39
EtaZero-100,28,12.46
EtaZero-100,27,13.94
EtaZero-100,25,10.15
EtaZero-100,22,8.62
EtaZero-100,21,9.35
EtaZero-100,18,9.22
EtaZero-100,17,9.56
EtaZero-100,15,8.19
EtaZero-100,13,5.91
EtaZero-100,11,5.31
EtaZero-100,9,3.99
EtaZero-100,6,0.90
EtaZero-100,5,0.10
EtaZero-100,4,0.03
EtaZero-100,3,0.02
EtaZero-100,2,0.01
EtaZero-100,1,0.00
uct-10000,49,35.35
uct-10000,48,35.07
uct-10000,47,37.36
uct-10000,46,37.19
uct-10000,44,39.02
uct-10000,43,38.65
uct-10000,41,38.48
uct-10000,39,39.20
uct-10000,37,26.10
uct-10000,35,28.97
uct-10000,34,26.78
uct-10000,33,27.47
uct-10000,31,27.71
uct-10000,30,24.34
uct-10000,28,17.49
uct-10000,27,18.00
uct-10000,26,14.41
uct-10000,25,14.25
uct-10000,23,9.00
uct-10000,21,10.43
uct-10000,20,9.33
uct-10000,18,5.39
uct-10000,15,3.80
uct-10000,13,2.84
uct-10000,12,2.13
uct-10000,11,4.74
uct-10000,10,1.52
uct-10000,9,0.79
uct-10000,8,0.65
uct-10000,7,0.35
uct-10000,6,0.14
uct-10000,5,0.08
uct-10000,4,0.07
uct-10000,3,0.05
uct-10000,2,0.03
uct-10000,1,0.01
EtaZero-100,49,14.13
EtaZero-100,48,15.88
EtaZero-100,46,17.75
EtaZero-100,45,19.38
EtaZero-100,43,19.10
EtaZero-100,41,18.16
EtaZero-100,39,18.84
EtaZero-100,37,20.43
EtaZero-100,34,16.44
EtaZero-100,31,14.49
EtaZero-100,29,12.40
EtaZero-100,28,11.35
EtaZero-100,27,13.64
EtaZero-100,25,11.35
EtaZero-100,23,9.30
EtaZero-100,22,8.67
EtaZero-100,20,6.78
EtaZero-100,18,6.82
EtaZero-100,16,5.29
EtaZero-100,15,5.17
EtaZero-100,13,4.18
EtaZero-100,12,4.18
EtaZero-100,11,3.49
EtaZero-100,10,3.50
EtaZero-100,9,2.93
EtaZero-100,8,1.53
EtaZero-100,7,0.63
EtaZero-100,6,0.10
EtaZero-100,5,0.04
EtaZero-100,4,0.04
EtaZero-100,3,0.02
EtaZero-100,2,0.01
EtaZero-100,1,0.00
uct-10000,49,43.15
uct-10000,48,39.42
uct-10000,47,36.71
uct-10000,46,40.76
uct-10000,45,35.17
uct-10000,44,34.60
uct-10000,43,28.76
uct-10000,42,29.03
uct-10000,40,32.97
uct-10000,39,32.13
uct-10000,38,30.31
uct-10000,36,28.38
uct-10000,34,25.33
uct-10000,33,19.78
uct-10000,32,20.02
uct-10000,31,17.49
uct-10000,28,17.19
uct-10000,27,13.81
uct-10000,25,12.32
uct-10000,24,12.01
uct-10000,22,12.08
uct-10000,21,8.99
uct-10000,20,11.49
uct-10000,17,8.89
uct-10000,16,5.14
uct-10000,15,4.35
uct-10000,14,3.77
uct-10000,13,5.86
uct-10000,11,2.29
uct-10000,10,1.59
uct-10000,9,0.83
uct-10000,8,0.48
uct-10000,7,0.26
uct-10000,6,0.18
uct-10000,5,0.10
uct-10000,4,0.08
uct-10000,3,0.06
uct-10000,2,0.04
uct-10000,1,0.01
EtaZero-100,49,15.84
EtaZero-100,47,17.06
EtaZero-100,46,18.47
EtaZero-100,43,20.47
EtaZero-100,41,22.78
EtaZero-100,40,19.54
EtaZero-100,38,21.53
EtaZero-100,36,20.57
EtaZero-100,34,21.16
EtaZero-100,32,17.17
EtaZero-100,29,13.31
EtaZero-100,27,12.62
EtaZero-100,26,12.85
EtaZero-100,25,10.23
EtaZero-100,23,9.75
EtaZero-100,21,9.51
EtaZero-100,20,8.87
EtaZero-100,18,7.32
EtaZero-100,17,6.35
EtaZero-100,16,5.96
EtaZero-100,14,4.76
EtaZero-100,11,4.05
EtaZero-100,10,3.77
EtaZero-100,9,2.87
EtaZero-100,8,2.46
EtaZero-100,7,1.38
EtaZero-100,6,0.31
EtaZero-100,4,0.03
EtaZero-100,3,0.02
EtaZero-100,2,0.01
EtaZero-100,1,0.00
uct-10000,49,33.19
uct-10000,47,26.06
uct-10000,46,29.58
uct-10000,44,27.43
uct-10000,42,28.52
uct-10000,41,32.45
uct-10000,40,30.85
uct-10000,39,26.27
uct-10000,38,22.88
uct-10000,37,23.06
uct-10000,36,21.46
uct-10000,34,22.85
uct-10000,32,20.49
uct-10000,30,16.66
uct-10000,29,19.28
uct-10000,27,18.78
uct-10000,24,15.32
uct-10000,22,13.65
uct-10000,20,10.64
uct-10000,19,6.53
uct-10000,18,7.33
uct-10000,17,4.93
uct-10000,16,3.05
uct-10000,15,6.49
uct-10000,13,1.51
uct-10000,12,1.61
uct-10000,11,0.51
uct-10000,10,0.51
uct-10000,7,0.09
uct-10000,6,0.12
uct-10000,5,0.11
uct-10000,4,0.09
uct-10000,3,0.06
uct-10000,2,0.03
uct-10000,1,0.01
