2/-bdfa-fd-d/7.7.7.2d4.7.7.7,"[1.0, 0.0, 1.0]"
1/-bdfa-gd-d/7.7.7.2de3.7.7.7,"[0.006896551698446274, 0.9931034445762634, 0.0, 0.0, -1.0]"
2/-bdfa-gd-c/7.7.7.2deg2.7.7.7,"[0.6685393452644348, 0.3314606845378876, 0.0, 0.0, 0.0, 1.0]"
1/-bdf-b-gd-c/7.7.2d4.2deg2.7.7.7,"[0.8952879309654236, 0.033158812671899796, 0.03664921596646309, 0.03490401431918144, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/-bdf-b-ge-c/7.2f4.2d4.2deg2.7.7.7,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/-bdf-b-gd-c/7.2f4.2df3.2deg2.7.7.7,"[0.10968921333551407, 0.542961597442627, 0.3199268877506256, 0.018281536176800728, 0.009140768088400364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/-bdg-b-gd-c/7.2f4.2df3.2deg2.3c3.7.7,"[0.0028653296176344156, 0.0, 0.0, 0.0, 0.0, 0.9971346855163574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/-bdd-b-gd-c/7.2fc3.2df3.2deg2.2ccc2.7.7,"[0.07692307978868484, 0.005305039696395397, 0.25464192032814026, 0.3978779911994934, 0.04774535819888115, 0.029177719727158546, 0.05305039882659912, 0.1326259970664978, 0.0026525198481976986, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/bdd-b-gd-c/7.2fc3.2df3.2deg2.2ccc2.3aa2.7,"[0.003086419776082039, 0.003086419776082039, 0.3055555522441864, 0.0, 0.1388888955116272, 0.0, 0.5493826866149902, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/bdd-d-gd-c/7.2fc3.2df3.2deg2.2ccc2.2daad1.7,"[0.002197802299633622, 0.593406617641449, 0.09450549632310867, 0.032967034727334976, 0.2747252881526947, 0.002197802299633622, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/bdd-d-ed-c/7.2fc3.2dfe2.1edeg2.2ccc2.2daad1.7,"[0.003355704713612795, 0.010067113675177097, 0.08389262109994888, 0.8590604066848755, 0.02348993346095085, 0.003355704713612795, 0.01342281885445118, 0.003355704713612795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/bbd-d-ed-c/3b3.2fc3.2dfe2.1edeg2.2cccb1.2daad1.7,"[0.04339250549674034, 0.19526627659797668, 0.027613412588834763, 0.08481262624263763, 0.29388558864593506, 0.049309663474559784, 0.05128205195069313, 0.08481262624263763, 0.15581853687763214, 0.013806706294417381, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/bbd-d-eda/3b3.2fc3.2dfe2.1edegg1.1gcccb1.2daad1.7,"[0.0024449878837913275, 0.0024449878837913275, 0.01955990307033062, 0.18581907451152802, 0.0024449878837913275, 0.0, 0.7530562281608582, 0.0024449878837913275, 0.0024449878837913275, 0.026894865557551384, 0.0024449878837913275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/bbb-d-eda/3b3.2fc3.2dfec1.1edegg1.1gcccb1.1cdaad1.7,"[0.12316715717315674, 0.029325513169169426, 0.4120234549045563, 0.30791789293289185, 0.1011730208992958, 0.016129031777381897, 0.010263930074870586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/bbb-d-edc/3b3.2fc3.1gdfec1.1edegg1.1gcccb1.1cdaadg.7,"[0.0019607844296842813, 0.007843137718737125, 0.0313725508749485, 0.9470587968826294, 0.0, 0.0117647061124444, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/abb-d-edc/3b3.2fca2.1gdfec1.1edegg1.1gcccb1.1cdaadg.7,"[0.05271565541625023, 0.030351437628269196, 0.4968051016330719, 0.022364217787981033, 0.305111825466156, 0.02555910497903824, 0.05910542979836464, 0.00638977624475956, 0.00159744406118989, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/abb-d-cdc/3b3.1efca2.1gdfec1.1edegg1.1gcccb1.1cdaadg.2e4,"[0.002207505516707897, 0.0, 0.9426048398017883, 0.002207505516707897, 0.002207505516707897, 0.024282561615109444, 0.002207505516707897, 0.002207505516707897, 0.022075055167078972, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/a-cb-d-cdc/2bbb2.1efcab1.1gdfec1.1edegg1.1gcccb1.1cdaadg.2e4,"[0.03057553991675377, 0.13848920166492462, 0.4568345248699188, 0.1708633154630661, 0.014388489536941051, 0.0341726616024971, 0.014388489536941051, 0.09712230414152145, 0.016187049448490143, 0.010791366919875145, 0.0017985611921176314, 0.014388489536941051, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
2/a-cba-cdc/2bbbd1.defcab1.1gdfec1.1edegg1.1gcccb1.1cdaadg.2ed3,"[0.004938271827995777, 0.0024691359139978886, 0.0024691359139978886, 0.8814814686775208, 0.03703703731298447, 0.0024691359139978886, 0.04938271641731262, 0.0024691359139978886, 0.0024691359139978886, 0.007407407276332378, 0.007407407276332378, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
1/a-cba-cbc/2bbbd1.defcab1.1gdfec1.1edegg1.1gcccbf.1cdaadg.2edf2,"[0.1816578507423401, 0.01587301678955555, 0.12345679104328156, 0.059964727610349655, 0.1675485074520111, 0.3633157014846802, 0.021164020523428917, 0.03703703731298447, 0.008818342350423336, 0.021164020523428917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
