2/-b-bbbb-dc/7.7.7.2g4.7.7.7,"[1.0, 0.0, -1.0]"
1/-c-bbbb-dc/7.7.7.2g4.2a4.7.7,"[0.3986014127731323, 0.6013985872268677, 0.0, 0.0, 1.0]"
2/-c-bbcb-dc/7.7.2d4.2g4.2a4.7.7,"[0.45186641812324524, 0.5481336116790771, 0.0, 0.0, 0.0, -1.0]"
1/-c-bbcb-ec/7.7.2d4.2gf3.2a4.7.7,"[0.003215434029698372, 0.9967845678329468, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-c-bccb-ec/7.7.2d4.2gf3.2ac3.7.7,"[0.05873261019587517, 0.7017001509666443, 0.06646058708429337, 0.17310664057731628, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-c-bccb-eb/7.7.2d4.2gfg2.2ac3.7.7,"[0.0022123893722891808, 0.991150438785553, 0.0, 0.006637168116867542, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-caccb-eb/7.7.2d4.2gfgb1.2ac3.7.7,"[0.07567567378282547, 0.683783769607544, 0.06756756454706192, 0.17297297716140747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-caccb-ea/7.7.2d4.2gfgb1.1gac3.7.7,"[0.01461988314986229, 0.46783626079559326, 0.5, 0.017543859779834747, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-baccb-ea/7.7.2da3.2gfgb1.1gac3.7.7,"[0.057939913123846054, 0.30686694383621216, 0.274678111076355, 0.14592275023460388, 0.21459227800369263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-baccb-fa/7.7.2daf2.2gfgb1.1gac3.7.7,"[0.0033783784601837397, 0.9020270109176636, 0.06081081181764603, 0.030405405908823013, 0.0033783784601837397, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-bacce-fa/7.7.2daf2.2gfgbe.1gace2.2e4.7,"[0.0022831049282103777, 0.0022831049282103777, 0.03652967885136604, 0.2831050157546997, 0.2214611917734146, 0.12328767031431198, 0.0022831049282103777, 0.0022831049282103777, 0.26255708932876587, 0.06392694264650345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-b-dcce-fa/7.4b2.2dafb1.2gfgbe.1gaceb1.2e4.7,"[0.003597122384235263, 0.003597122384235263, 0.8597122430801392, 0.028776979073882103, 0.0, 0.0, 0.003597122384235263, 0.0, 0.04316546767950058, 0.053956832736730576, 0.003597122384235263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-b-dcde-fa/7.4b2.2dafb1.1dgfgbe.1gaceb1.2e4.7,"[0.0023419202771037817, 0.0023419202771037817, 0.07259953022003174, 0.0023419202771037817, 0.10070257633924484, 0.06088992953300476, 0.0023419202771037817, 0.0023419202771037817, 0.18501171469688416, 0.0023419202771037817, 0.4215456545352936, 0.14051522314548492, 0.0023419202771037817, 0.0023419202771037817, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-b-dade-fa/7.4b2.2dafbc.1dgfgbe.cgaceb1.2e4.7,"[0.003355704713612795, 0.16778524219989777, 0.003355704713612795, 0.003355704713612795, 0.003355704713612795, 0.7651006579399109, 0.003355704713612795, 0.003355704713612795, 0.03691275045275688, 0.003355704713612795, 0.003355704713612795, 0.003355704713612795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-b-dade-da/7.4b2.1fdafbc.1dgfgbe.cgaceb1.1fe4.7,"[0.02784222736954689, 0.002320185536518693, 0.0, 0.22969837486743927, 0.0, 0.14849187433719635, 0.03480278328061104, 0.47331786155700684, 0.0, 0.0, 0.04872389882802963, 0.03480278328061104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-d-dade-da/7.4b2.1fdafbc.adgfgbe.cgaceb1.afe4.7,"[0.012594458647072315, 0.188916876912117, 0.010075566358864307, 0.030226700007915497, 0.010075566358864307, 0.5843828916549683, 0.017632242292165756, 0.13853904604911804, 0.002518891589716077, 0.002518891589716077, 0.002518891589716077, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-d-daee-da/7.4b2.1fdafbc.adgfgbe.cgacebd.afe4.7,"[0.00920245423913002, 0.4279141128063202, 0.021472392603754997, 0.02760736271739006, 0.10276073962450027, 0.30368098616600037, 0.0061349691823124886, 0.10122699290513992, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-d-daee-d-c/7.4bg1.gfdafbc.adgfgbe.cgacebd.afe4.7,"[0.09026549011468887, 0.008849557489156723, 0.8017699122428894, 0.0017699114978313446, 0.0159292034804821, 0.012389380484819412, 0.02654867246747017, 0.04247787594795227, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-d-daeea-c/7.3fbg1.gfdafbc.adgfgbe.cgacebd.afef3.2f4,"[0.0036563072353601456, 0.1791590452194214, 0.6691042184829712, 0.14808043837547302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-d-daeca-c/7.2efbg1.gfdafbc.adgfgbe.cgacebd.afefe2.2f4,"[0.0024271844886243343, 0.844660222530365, 0.009708737954497337, 0.10436893254518509, 0.004854368977248669, 0.007281553465873003, 0.0024271844886243343, 0.0024271844886243343, 0.007281553465873003, 0.014563106931746006, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
2/-daaeca-c/2b4.2efbgb.gfdafbc.adgfgbe.cgacebd.afefe2.1bf4,"[0.004587155766785145, 0.0, 0.9770641922950745, 0.0, 0.0, 0.01834862306714058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]"
1/-da-ceca-c/2bc3.1cefbgb.gfdafbc.adgfgbe.cgacebd.afefe2.1bf4,"[0.005076142027974129, 0.10152284055948257, 0.817258894443512, 0.017766498029232025, 0.0, 0.0482233501970768, 0.0025380710139870644, 0.0, 0.007614213041961193, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]"
